172.68.10.212 - - [18/Mar/2025:23:04:11 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.222.173 - - [19/Mar/2025:01:02:39 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.203.164 - - [19/Mar/2025:01:14:19 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.68.10.121 - - [19/Mar/2025:01:16:22 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.111.115 - - [19/Mar/2025:01:36:21 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.222.80 - - [19/Mar/2025:01:37:43 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.50.167 - - [19/Mar/2025:01:55:57 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.95.112 - - [19/Mar/2025:01:57:08 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.70.46.189 - - [19/Mar/2025:02:03:22 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (Linux; Android 10; LIO-AN00 Build/HUAWEILIO-AN00; wv) MicroMessenger Weixin QQ AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.62 XWEB/2692 MMWEBSDK/200901 Mobile Safari/537.36＂
172.71.99.222 - - [19/Mar/2025:02:16:11 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (Linux; Android 10; LIO-AN00 Build/HUAWEILIO-AN00; wv) MicroMessenger Weixin QQ AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.62 XWEB/2692 MMWEBSDK/200901 Mobile Safari/537.36＂
172.71.95.140 - - [19/Mar/2025:02:16:30 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (Linux; Android 10; LIO-AN00 Build/HUAWEILIO-AN00; wv) MicroMessenger Weixin QQ AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.62 XWEB/2692 MMWEBSDK/200901 Mobile Safari/537.36＂
104.23.168.81 - - [19/Mar/2025:02:16:51 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (Linux; Android 10; LIO-AN00 Build/HUAWEILIO-AN00; wv) MicroMessenger Weixin QQ AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.62 XWEB/2692 MMWEBSDK/200901 Mobile Safari/537.36＂
172.70.246.132 - - [19/Mar/2025:02:17:42 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.50.245 - - [19/Mar/2025:02:17:54 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.68.102.62 - - [19/Mar/2025:02:20:43 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36＂
172.68.103.37 - - [19/Mar/2025:02:20:44 -0400] ＂GET /favicon.ico HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36＂
172.70.248.159 - - [19/Mar/2025:02:38:51 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.144.128 - - [19/Mar/2025:02:41:56 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.148.98 - - [19/Mar/2025:02:59:12 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.70.243.128 - - [19/Mar/2025:03:02:11 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:33 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:33 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:33 -0400] ＂GET /wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:33 -0400] ＂GET /xmlrpc.php?rsd HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:33 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:33 -0400] ＂GET /blog/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:33 -0400] ＂GET /web/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:33 -0400] ＂GET /wordpress/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:33 -0400] ＂GET /website/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:33 -0400] ＂GET /wp/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:34 -0400] ＂GET /news/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:34 -0400] ＂GET /2018/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:34 -0400] ＂GET /2019/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:34 -0400] ＂GET /shop/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:34 -0400] ＂GET /wp1/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:34 -0400] ＂GET /test/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:34 -0400] ＂GET /media/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:34 -0400] ＂GET /wp2/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:34 -0400] ＂GET /site/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:34 -0400] ＂GET /cms/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.69.165.2 - - [19/Mar/2025:03:12:34 -0400] ＂GET /sito/wp-includes/wlwmanifest.xml HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36＂
172.71.182.103 - - [19/Mar/2025:03:15:21 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1＂
172.71.164.229 - - [19/Mar/2025:03:19:16 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.144.23 - - [19/Mar/2025:03:22:10 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.136.214 - - [19/Mar/2025:03:40:33 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.136.139 - - [19/Mar/2025:03:42:01 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.62.231 - - [19/Mar/2025:03:47:11 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (compatible)＂
172.70.114.133 - - [19/Mar/2025:03:47:12 -0400] ＂GET /favicon.ico HTTP/1.1＂ 404 138 ＂http://cradleintro.top/＂ ＂Mozilla/5.0 (compatible)＂
172.69.151.106 - - [19/Mar/2025:04:03:50 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.148.37 - - [19/Mar/2025:04:04:14 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.68.159.24 - - [19/Mar/2025:04:20:45 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.144.174 - - [19/Mar/2025:04:22:52 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.70.47.8 - - [19/Mar/2025:04:25:52 -0400] ＂GET /robots.txt HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.3＂
141.101.76.90 - - [19/Mar/2025:04:25:53 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.3＂
162.158.94.159 - - [19/Mar/2025:04:42:21 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.70.243.21 - - [19/Mar/2025:04:45:18 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.109.39 - - [19/Mar/2025:05:05:51 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.136.207 - - [19/Mar/2025:05:09:58 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.184.246 - - [19/Mar/2025:05:29:28 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.184.27 - - [19/Mar/2025:05:33:09 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.172.150 - - [19/Mar/2025:05:50:40 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.103.127 - - [19/Mar/2025:05:52:48 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.70.246.40 - - [19/Mar/2025:06:11:34 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.150.54 - - [19/Mar/2025:06:13:29 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.95.97 - - [19/Mar/2025:06:20:42 -0400] ＂GET /.env HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36＂
172.71.99.36 - - [19/Mar/2025:06:20:43 -0400] ＂POST / HTTP/1.1＂ 405 552 ＂-＂ ＂Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36＂
172.69.151.120 - - [19/Mar/2025:06:30:09 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.184.252 - - [19/Mar/2025:06:33:20 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.22.30 - - [19/Mar/2025:06:35:40 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1＂
172.69.136.138 - - [19/Mar/2025:06:50:47 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.136.138 - - [19/Mar/2025:06:52:40 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.172.197 - - [19/Mar/2025:07:12:28 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.172.171 - - [19/Mar/2025:07:13:55 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.42.95 - - [19/Mar/2025:07:18:38 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)＂
162.158.41.216 - - [19/Mar/2025:07:18:39 -0400] ＂GET /favicon.ico HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)＂
172.71.150.109 - - [19/Mar/2025:07:18:45 -0400] ＂GET /favicon.ico HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)＂
172.69.136.167 - - [19/Mar/2025:07:30:03 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
141.101.76.62 - - [19/Mar/2025:07:31:37 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.68.225.94 - - [19/Mar/2025:07:43:08 -0400] ＂GET / HTTP/1.1＂ 200 2154 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0＂
172.71.215.185 - - [19/Mar/2025:07:43:08 -0400] ＂GET /assets/images/react-logo@3x.png HTTP/1.1＂ 404 138 ＂http://cradleintro.top/＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0＂
172.68.211.154 - - [19/Mar/2025:07:43:08 -0400] ＂GET /assets/images/app-screenshot.png HTTP/1.1＂ 404 138 ＂http://cradleintro.top/＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0＂
